transaction_id,Ticker,Action,Date,Number,Total
B_177,Bitcoin,Buy,09/05/22,0.001,25
B_178,Ether,Buy,9/05/22,0.01462,25
B_179,Ether,Buy,9/05/22,0.01657,25
B_180,Ether,Buy,11/05/22,0.0138876,25
B_181,Bitcoin,Buy,12/05/22,0.00114811,25
B_182,Ether,Buy,16/05/22,0.01533248,25
B_183,Bitcoin,Buy,16/05/22,0.00104175,25
B_184,Cash,In,18/05/22,,21.5
B_185,Polymetal,Sell,03/06/22,71,170
B_186,Cash,In,05/06/22,,50
B_187,Shell,Sell,06/05/22,2,48.24
B_188,Shell,Sell,06/05/22,3,72.14
B_189,Antofagasta,Sell,06/05/22,1,15.39
B_190,BP,Sell,06/05/22,10,44.36
B_191,BT,Sell,06/05/22,20,36.94
B_192,Physical_Gold,Sell,06/05/22,2,57.42
B_193,Babylon,Buy,10/06/22,157,144.5
B_194,Ether,Buy,10/06/22,0.04148072,50
B_195,Ether,Buy,13/06/22,0.04519,50
B_196,Ether,Buy,13/06/22,0.04971,50
B_197,Bitcoin,Buy,14/06/22,0.00271159,50
B_198,Ether,Buy,14/06/22,0.05523,50
